Size,Iteration,Memory Usage (Peak Bytes),Insertion CPU Time (s),Tree Height,Total Insertion Steps,Search CPU Time (s),Average Search Steps,Max Search Steps
50000,0,7663815,1.5299999999999996,38,1029328,0.0030000000000000248,20.517578125,37
50000,1,7652532,1.2400000000000004,38,1029328,0.0029999999999999805,20.521484375,33
50000,2,7650652,1.4800000000000004,38,1029328,0.0040000000000000036,20.6328125,33
50000,3,7649228,1.1999999999999993,38,1029328,0.0024999999999999467,20.455078125,33
50000,4,7652060,1.2699999999999996,38,1029328,0.0040000000000000036,20.583984375,32
100000,0,15262436,2.809999999999999,40,2151213,0.0030000000000001137,21.18359375,34
100000,1,15253948,2.7699999999999996,40,2151213,0.004499999999999993,21.61328125,35
100000,2,15256476,2.8000000000000043,40,2151213,0.0029999999999997585,21.78125,36
100000,3,15251588,2.7400000000000038,40,2151213,0.0035000000000000144,21.2265625,36
100000,4,15251756,2.710000000000001,40,2151213,0.0030000000000001137,21.587890625,36
500000,0,76064020,16.15,44,12027985,0.0034999999999996588,24.529296875,39
500000,1,76056948,16.110000000000003,44,12027985,0.0034999999999996588,24.20703125,37
500000,2,76057420,16.959999999999997,44,12027985,0.0064999999999997725,24.091796875,38
500000,3,76058364,16.369999999999994,44,12027985,0.004999999999999716,23.896484375,37
500000,4,76055532,15.860000000000012,44,12027985,0.00350000000000108,23.916015625,37
1000000,0,152068268,35.58000000000001,53,26077008,0.00449999999999875,26.021484375,40
1000000,1,152060724,35.46000000000004,53,26077008,0.003999999999999204,26.35546875,46
1000000,2,152061500,36.39000000000005,53,26077008,0.006000000000000227,25.96875,47
1000000,3,152062140,35.31000000000001,53,26077008,0.004500000000001591,26.138671875,42
1000000,4,152063140,39.440000000000005,53,26077008,0.003999999999996362,26.07421875,39
